name,Air spd (rel) hi 35-climb accel (3 secs),Air spd (rel) hi 35-climb accel start,Air spd (rel) hi 35ft t/o,Air spd (rel) hi 500-20ft (3 secs),Air spd (rel) hi liftoff,Air spd (rel) hi tdwn,Air spd (rel) lo 1000-500ft (3 secs),Air spd (rel) lo 35-climb accel (3 secs),Air spd (rel) lo 35ft t/o,Air spd (rel) lo 500-20ft (3 secs),Air spd (rel) lo flap 1,Air spd (rel) lo flap 10,Air spd (rel) lo flap 15,Air spd (rel) lo flap 5,Air spd (rel) lo liftoff,Air spd (rel) lo tdwn,Air spd (VMO) excd,Air spd hi 1000-8000ft,Air spd hi 10000-8000ft,Air spd hi 3000-1000ft,Air spd hi 5000-3000ft,Air spd hi 8000-10000ft,Air spd hi 8000-5000ft,Air spd hi flap 1,Air spd hi flap 10,Air spd hi flap 15,Air spd hi flap 2,Air spd hi flap 25,Air spd hi flap 30,Air spd hi flap 40,Air spd hi flap 5,Air spd hi ldg gear extd,Air spd hi ldg gear extn,Air spd hi ldg gear retr,AP disengaged crz,AP engaged early t/o,Eng N1 hi app,Eng N1 lo 500-50ft (5 secs),Eng N1 lo TOGA t/o,Eng rev thrust hi at lo gnd spd,Flap mvmt late app,Flap retr early t/o,Flap setting lo 1000ft,Fuel qty low tdwn,Gnd spd hi taxi straight,Gnd spd hi taxi turn,Go-around,GS dev above GS 1000-500ft,GS dev above GS 1500-1000ft,GS dev above GS 500-200ft,GS dev below GS 1000-500ft,GS dev below GS 1500-1000ft,GS dev below GS 500-200ft,Hdg dev rwy >80kts air spd t/o,Hdg var 500-50ft,Hdg var tdwn 60kts air spd,Hgt hi 1 min tdwn,Hgt hi 2 min tdwn,Hgt lo 1 min tdwn,Hgt lo 2 min tdwn,Hgt loss 1000-2000ft,Hgt loss 35-1000ft,Lat g hi taxi turn,Ldg gear late extn,Ldg gear late retr,Ldg gear late retr g/a,Ldg weight hi tdwn,LOC dev 1000-500ft,LOC dev 1500-1000ft,LOC dev 500-200ft,Long flare duration,Mach (MMO) excd,Max alt (flaps extd) excd,Max alt (ldg gear extd) excd,Max alt excd,Norm g hi t/o,Norm g hi tdwn (hard ldg),Pitch cycle fin app,Pitch hi 1000-500ft,Pitch hi 35-400ft,Pitch hi 35ft t/o,Pitch hi 400-1000ft,Pitch hi 500-50ft,Pitch hi 50ft tdwn,Pitch hi liftoff,Pitch lo 1000-500ft,Pitch lo 20ft tdwn,Pitch lo 35-400ft,Pitch lo 35-climb accel start,Pitch lo 35ft t/o,Pitch lo 400-1000ft,Pitch lo 500-20ft,Pitch rate (neg) t/o,Pitch rate (rot) hi t/o,Pitch rate hi 35-1000ft,Pitch rate lo t/o,RoC lo 35-1000ft,RoD hi 1000-500ft,RoD hi 2000-1000ft,RoD hi 3000-2000ft,RoD hi 500-50ft,RoD hi 50ft tdwn,RoD hi tdwn,Roll cycle fin app,Roll hi >1000ft,Roll hi 1000-300ft,Roll hi 20-400ft,Roll hi 20ft tdwn,Roll hi 300-20ft,Roll hi 400-1000ft,Roll hi liftoff 20ft,RTO,Short flare duration,Spdbrk dep flaps extd,TAWS GS 500-200ft,Throttle cycle fin app,Turb app,Turb crz,Turb flt,Unstable app,Unstable app g/a
Air spd hi flap 5,-0.00678421,-0.009267655,-0.003729271,-0.000948667,-0.005534048,-0.000420159,0.006857592,0.005182074,-0.00054575,0.001390169,-0.006517559,-0.004272403,0.000457644,0.001303713,-0.001847762,0.006527089,-0.000329092,0.005938098,0.029760655,0.020136488,0.024797165,0.007788596,0.030211985,0.115273055,0.016621196,0.029791986,0.308192081,0.018640601,0.00897156,0.011950829,1,-0.000164544,0.009210715,-0.000164544,-0.001089582,-0.001453583,-0.000164544,0.00486651,0.000443678,0.001858616,0.006496128,0.003934446,0.004530216,-0.006971828,0.003895756,0.00313625,0.004124374,0.003081567,0.00485924,-0.001814512,0.004501788,0.005464627,0.003977557,-0.001343175,0.001059128,0.00427858,0.006857592,0.019844963,-0.007866817,0.001446965,-0.000284003,-0.000164544,0.005583546,-0.000493646,-0.001833027,-0.001661799,0.00400434,0.004222702,0.009169971,0.004913307,0.002488966,-0.000593297,0.019980014,0.013185601,-0.000973566,-0.003169453,-0.001126096,-0.000952875,0.004310814,-0.004797835,-0.00155654,-0.003819458,0.010334935,0.009217146,0.00659399,0.007819508,-0.002239394,-0.001864687,-0.009718033,0.000470697,0.001439765,-0.00262584,-0.001205427,-0.002342688,-0.000834662,0.000203613,-0.001116159,0.022421726,0.037150312,0.030545514,0.01833224,0.004089944,-0.001040803,0.001035564,0.007913028,0.007124983,-5.88E-05,-0.001975457,-0.000226307,-0.000538594,-0.001053736,-0.000329092,1.14E-05,0.027821502,-0.000285001,-0.001552756,-0.002518775,-0.000435352,-0.003135078,-0.0059047,-0.001001003
Air spd hi ldg gear extd,-0.000439873,-0.000617594,-0.000336587,-0.000494782,-0.000385374,-0.000237347,-6.21E-05,-4.19E-05,-2.17E-05,-7.80E-05,-0.000259131,0.019831807,0.023281062,-0.000246177,-7.35E-05,-0.000187033,-1.31E-05,-0.000941326,-0.000708289,-0.00027374,-0.000483066,-0.001087126,-0.000586876,-0.000117334,-0.000164282,-0.000451596,-0.000138673,-0.000668828,-0.000356317,-0.000122004,-0.000164544,1,-0.000109374,-6.54E-06,-4.33E-05,-5.78E-05,-6.54E-06,-0.000488949,-0.000521553,-0.000255054,-0.000422872,-5.03E-05,-0.000330681,-0.000510051,-0.000921246,-0.002518408,-4.85E-05,-0.00021616,-0.000208289,-0.000268004,-0.000651963,-0.000328668,-0.000494889,-0.000205776,-8.31E-05,-0.000265215,-6.21E-05,-9.42E-05,-0.000718297,-7.72E-05,-1.13E-05,-6.54E-06,-9.75E-05,-1.96E-05,-7.29E-05,-6.61E-05,-0.000114179,-0.000309068,-0.000353546,-0.000170847,-0.000449172,-2.36E-05,-2.53E-05,-3.70E-05,-3.87E-05,-0.000611047,-0.000543771,-0.000122707,-0.000110532,-0.000402342,-0.000672618,0.009805563,-6.54E-05,-0.000562508,-0.000323997,-0.000361944,-8.90E-05,-0.000651346,0.00862311,-9.30E-05,-0.000201734,-0.000166888,-0.000229991,-0.000229801,-0.000161891,-0.000303838,-4.44E-05,-0.000597095,-0.000533495,-0.000373888,-0.00059514,-0.000462909,-4.14E-05,-0.000157444,-0.000256931,-0.000126837,-0.000145487,-7.85E-05,-0.00010659,-0.000486168,-4.19E-05,-1.31E-05,-0.000289844,-0.000336785,-1.13E-05,-6.17E-05,-0.000100144,-1.73E-05,-0.000181994,-0.00238373,-3.98E-05
Air spd hi ldg gear extn,-0.002766132,-0.002264056,0.00029709,0.009804489,-0.002281499,-0.000636264,0.005280398,-0.000700428,-0.000362765,0.00372703,-0.004332281,-0.001890647,0.00518537,0.000705871,-0.001228225,0.003194703,-0.000218751,-0.002497359,0.036359131,0.04032705,0.054260683,-0.004141889,0.042221329,0.001386447,0.002045694,0.016618857,0.009022634,0.018250128,0.004136941,0.010842277,0.009210715,-0.000109374,1,-0.000109374,-0.000724255,0.005820482,-0.000109374,0.004291452,-0.004805099,0.003497358,0.006263626,-0.000840279,-0.003118069,-0.006928965,-0.003030232,0.00128827,-0.000810782,0.007345265,0.00409608,0.008828642,0.009586388,0.011477993,0.006517948,-0.001522833,0.017511848,-0.001445962,0.017917027,0.023431935,-0.001999111,-0.001290085,-0.00018878,-0.000109374,0.002390265,-0.000328131,-0.00121843,0.004806685,0.004971604,0.016697103,0.009903757,0.010968067,0.000587672,-0.00039437,-0.000423624,0.041757722,-0.000647138,-0.001399526,-4.88E-05,0.001150664,0.005247466,0.00126111,-0.004390677,-0.001113377,-0.001094096,0.011783852,0.003188841,0.021558248,0.011736371,-0.002557888,0.00080857,-0.001555523,-0.003372687,0.013722939,0.003028087,0.003036818,-0.000277159,0.000154035,-0.000741921,0.017011378,0.047048324,0.066560519,0.021289709,0.000132292,-0.000691831,-0.000132868,0.026528239,0.025748079,0.000269699,0.003682844,0.0166392,0.001062314,-0.000700428,-0.000218751,0.000633844,0.023974341,-0.000189443,-0.001032131,0.002242582,-0.000289383,-0.000877734,-0.01926345,0.009187121
Air spd hi ldg gear retr,-0.000439873,-0.000617594,-0.000336587,-0.000494782,-0.000385374,0.027563498,-6.21E-05,-4.19E-05,-2.17E-05,-7.80E-05,-0.000259131,-0.000329879,-0.000281005,-0.000246177,-7.35E-05,-0.000187033,-1.31E-05,-0.000941326,0.009222296,-0.00027374,-0.000483066,-0.001087126,-0.000586876,-0.000117334,-0.000164282,-0.000451596,-0.000138673,-0.000668828,-0.000356317,-0.000122004,-0.000164544,-6.54E-06,-0.000109374,1,-4.33E-05,-5.78E-05,-6.54E-06,-0.000488949,-0.000521553,-0.000255054,0.015470649,-5.03E-05,0.019781953,-0.000510051,-0.000921246,0.003258243,-4.85E-05,-0.00021616,-0.000208289,-0.000268004,-0.000651963,-0.000328668,-0.000494889,-0.000205776,-8.31E-05,-0.000265215,-6.21E-05,-9.42E-05,-0.000718297,-7.72E-05,-1.13E-05,-6.54E-06,-9.75E-05,-1.96E-05,-7.29E-05,-6.61E-05,-0.000114179,-0.000309068,-0.000353546,-0.000170847,-0.000449172,-2.36E-05,-2.53E-05,-3.70E-05,-3.87E-05,-0.000611047,-0.000543771,-0.000122707,-0.000110532,-0.000402342,-0.000672618,-0.000667183,-6.54E-05,-0.000562508,-0.000323997,-0.000361944,-8.90E-05,-0.000651346,-0.000758671,-9.30E-05,-0.000201734,-0.000166888,-0.000229991,-0.000229801,-0.000161891,-0.000303838,-4.44E-05,-0.000597095,-0.000533495,-0.000373888,-0.00059514,0.014132582,-4.14E-05,-0.000157444,-0.000256931,-0.000126837,-0.000145487,-7.85E-05,-0.00010659,-0.000486168,-4.19E-05,-1.31E-05,-0.000289844,-0.000336785,-1.13E-05,-6.17E-05,-0.000100144,-1.73E-05,-0.000181994,-0.00238373,-3.98E-05
AP disengaged crz,0.003936209,0.000924598,-0.002228818,0.00490101,-0.002551872,-0.001571664,-0.000411095,-0.000277423,-0.000143683,-0.000516462,0.002086747,-0.002184398,0.001652154,0.002368662,-0.000486471,-0.0012385,-8.66E-05,0.000825819,0.004193275,0.008999244,-0.001108199,0.000207593,0.001362257,-0.000776965,-0.001087844,0.005918309,-0.000918267,0.003361416,-0.002359462,-0.000807888,-0.001089582,-4.33E-05,-0.000724255,-4.33E-05,1,-0.000382693,-4.33E-05,0.007100965,0.004337967,-0.001688922,0.004308618,-0.000332815,-0.002189704,-0.003377457,-0.001364717,-0.001780837,0.03959389,-0.001431373,0.00333461,0.001904696,-0.000830107,0.003856406,0.000812142,-0.001362606,0.01120637,0.005678231,0.015309272,0.009745979,-0.001826441,-0.000510973,-7.48E-05,-4.33E-05,-0.000645877,-0.000129965,-0.000482592,0.058393223,-0.00075607,0.004958829,-0.002341111,-0.001131313,-0.000735859,-0.000156201,-0.000167788,-0.000245083,-0.000256316,-0.002358895,0.005773243,-0.000812541,0.008094981,-0.002664234,-0.002903547,-0.002856554,-0.000433346,0.003546551,-0.002145448,0.003098793,-0.000589578,0.003659854,-0.005023775,-0.000616106,0.003529201,-0.001105103,-0.001522953,-0.0015217,0.004972545,0.001243521,-0.000293858,0.004656736,0.007912572,0.005516507,0.009877052,-0.000889225,-0.000274018,-0.001042562,-0.001701345,-0.000839887,-0.000963389,-0.00052009,-0.000705817,-0.001140577,-0.000277423,-8.66E-05,0.0048975,0.000716228,-7.50E-05,-0.000408803,-0.000663132,-0.000114618,-0.001205132,-0.002022233,0.024250096
AP engaged early t/o,-0.003885829,-0.005455814,-0.002973409,-0.002817939,-0.003404388,-0.002096717,-0.000548431,-0.000370103,-0.000191684,-0.000688999,0.000599493,0.001652723,-0.002482398,0.000862922,-0.000648989,-0.001652251,-0.000115587,0.004196537,0.002740588,0.003057216,-0.002679319,0.000844895,-0.001197534,0.005291485,-0.001451265,0.001086153,-0.001225037,0.004743612,-0.001027918,-0.001077782,-0.001453583,-5.78E-05,0.005820482,-5.78E-05,-0.000382693,1,-5.78E-05,-0.002748637,-0.000168292,0.000680743,0.007064596,-0.000444,0.010746059,0.004556827,0.002653761,0.00492835,-0.000428414,-0.001909558,-0.001840021,0.000427449,-0.000919482,-0.002903449,0.003393954,-0.001817818,-0.000733693,0.003304582,-0.000548431,-0.000832055,0.00033177,-0.000681676,-9.98E-05,-5.78E-05,-0.000861648,-0.000173383,-0.000643813,-0.000583673,-0.001008653,-0.000299471,-0.003123217,-0.001509256,-0.002267546,-0.000208383,-0.000223841,-0.000326959,-0.000341945,0.001010871,0.000893017,-0.001083991,-0.000976442,-0.003554288,0.001124574,-0.005893886,-0.000578116,0.000554433,-0.00053864,-0.003197409,-0.000786541,0.008781766,-0.005639545,-0.000821932,0.001913566,-0.00147429,-0.002031733,0.004470466,-0.001430147,0.00473487,-0.000392028,-0.00396654,-0.003263842,-0.001279161,-0.003945375,0.002522786,-0.000365561,-0.001390855,-0.002269721,-0.001120472,-0.001285233,-0.000693839,-0.000941613,-0.002715714,-0.000370103,-0.000115587,2.87E-05,-0.000736987,-0.000100101,-0.000545374,-0.000884668,-0.000152909,-0.001607736,-0.003052971,-0.000351582
Eng N1 hi app,-0.000439873,-0.000617594,-0.000336587,-0.000494782,-0.000385374,-0.000237347,-6.21E-05,-4.19E-05,-2.17E-05,-7.80E-05,-0.000259131,-0.000329879,-0.000281005,-0.000246177,-7.35E-05,-0.000187033,-1.31E-05,-0.000941326,-0.000708289,0.023899005,-0.000483066,-0.001087126,-0.000586876,-0.000117334,-0.000164282,-0.000451596,-0.000138673,-0.000668828,-0.000356317,-0.000122004,-0.000164544,-6.54E-06,-0.000109374,-6.54E-06,-4.33E-05,-5.78E-05,1,-0.000488949,-0.000521553,-0.000255054,-0.000422872,-5.03E-05,-0.000330681,-0.000510051,-0.000921246,-0.002518408,-4.85E-05,-0.00021616,-0.000208289,0.024410479,-0.000651963,-0.000328668,-0.000494889,-0.000205776,-8.31E-05,-0.000265215,-6.21E-05,-9.42E-05,-0.000718297,-7.72E-05,-1.13E-05,-6.54E-06,-9.75E-05,-1.96E-05,-7.29E-05,-6.61E-05,-0.000114179,-0.000309068,-0.000353546,-0.000170847,-0.000449172,-2.36E-05,-2.53E-05,-3.70E-05,-3.87E-05,-0.000611047,-0.000543771,-0.000122707,0.05909385,-0.000402342,-0.000672618,-0.000667183,-6.54E-05,-0.000562508,-0.000323997,-0.000361944,-8.90E-05,-0.000651346,0.00862311,-9.30E-05,-0.000201734,-0.000166888,-0.000229991,-0.000229801,-0.000161891,-0.000303838,-4.44E-05,-0.000597095,-0.000533495,-0.000373888,-0.00059514,-0.000462909,-4.14E-05,-0.000157444,-0.000256931,-0.000126837,-0.000145487,-7.85E-05,-0.00010659,-0.000486168,-4.19E-05,-1.31E-05,-0.000289844,-0.000336785,-1.13E-05,-6.17E-05,-0.000100144,-1.73E-05,-0.000181994,-0.00238373,-3.98E-05
Eng N1 lo 500-50ft (5 secs),0.003439185,0.001417346,0.006106006,0.044602514,0.001295208,-0.003087595,0.0012094,0.001201261,0.002560044,-7.26E-06,-0.009462721,-0.013749708,-0.009564825,-0.009099614,-0.001782561,0.010406312,-0.000977908,-0.021980525,0.004081466,0.003678759,-0.003627598,-0.022658813,0.004471131,-0.001795366,0.002695056,0.025293145,0.002103578,0.045957917,0.028659283,0.010261021,0.00486651,-0.000488949,0.004291452,-0.000488949,0.007100965,-0.002748637,-0.000488949,1,0.003238513,0.002852944,0.053037748,-0.000144573,0.046746133,-0.00464282,-0.009842012,-0.010949549,0.001944893,0.035418355,0.024773855,0.011115392,0.019783152,0.008545277,0.021591688,-0.002066148,0.010196567,-0.001841256,0.011445732,0.025757012,-0.036241397,0.002470883,-0.000843926,-0.000488949,-0.000775506,0.003156191,-0.002954977,0.00463883,0.005002218,0.026667344,0.023511532,0.013360866,-0.006709433,0.002083682,0.001687311,0.009493513,0.006485125,-0.002819132,-0.002099159,0.001204633,0.008981878,0.004823514,0.013042182,0.005037813,-0.000729069,0.006320993,-0.014541175,0.07370379,-0.00461389,-0.018569632,-0.002574849,-0.004024493,0.001214592,0.023561463,0.003490575,0.004715499,-0.003665464,-0.000299121,0.000773604,0.106947653,0.068400922,0.023850294,0.133222022,0.004874905,0.001293499,-0.000776429,0.016467074,0.018470411,0.003509893,-0.001245019,0.016761742,-0.007910669,0.001201261,-0.000977908,0.011628113,0.009636528,-0.000846891,0.002738535,0.002487162,-0.001293664,0.010448892,-0.118983674,0.003866377
Eng N1 lo TOGA t/o,-0.00886005,-0.013205776,-0.008233412,-0.004870088,0.000578992,-0.003666738,-0.004949327,-0.001299318,0.002209542,-0.00073338,-0.005663294,-0.003645379,-0.007934074,-0.006660452,-0.002363599,-0.001587199,-0.001043116,0.000629401,-0.005996606,0.00281047,-0.004035463,-0.003656624,-0.007233931,-0.002784318,-0.005260588,0.005958711,0.001308044,-0.001301711,-0.009332899,-0.004811318,0.000443678,-0.000521553,-0.004805099,-0.000521553,0.004337967,-0.000168292,-0.000521553,0.003238513,1,-0.011872408,-0.001526896,-0.002305635,-0.003501601,0.002723313,0.00733442,0.016216332,-0.000368468,0.000289552,-0.003386857,-0.002342938,-0.000610163,-0.002412799,0.003188414,-0.003027155,0.000590243,-0.001599183,-0.003571747,-0.002965416,0.006025751,0.001608858,-0.000900199,-0.000521553,-0.002515844,-0.0015647,0.001232392,-0.002689691,-0.001601847,-0.006973523,-0.004541895,-0.001061475,0.000676229,-0.00188056,0.001353481,-0.002950648,-0.000877248,-0.002729087,-0.008357215,-0.002800885,0.002017136,-0.018578736,0.00479787,-0.023361387,0.001317429,-0.009002484,-0.004654785,-0.002368541,-0.002292454,-0.003998095,-0.058889714,-0.000978521,0.001822931,-0.004561083,0.001895111,0.010550269,0.000335768,-0.003397418,0.002242002,-0.005347226,-0.003249269,-0.003426717,-0.003400612,0.001996421,-0.003299011,-0.000563268,0.002030486,-0.002010153,-0.003350898,-0.001904505,-0.000464864,-0.004148116,-0.001299318,-0.001043116,-0.002796917,0.002326102,0.006639805,-0.000765859,0.002264127,-0.001379926,-0.003180544,0.005938079,-0.00102472
Eng rev thrust hi at lo gnd spd,0.002684286,0.008157025,0.012488501,0.009548831,0.000716523,0.017393064,0.000311047,-0.001633359,-0.000845948,0.010008633,0.018307972,0.01795381,0.030549628,0.028615871,0.010988261,0.000906722,0.012442458,-0.010942247,0.00026645,-0.000653168,-0.003577173,-0.011131312,-0.001906257,0.014241548,0.016383779,-0.00444918,0.005624764,-0.004418416,0.03556314,0.045363538,0.001858616,-0.000255054,0.003497358,-0.000255054,-0.001688922,0.000680743,-0.000255054,0.002852944,-0.011872408,1,-0.002487959,-0.001959482,-0.005076934,-0.017466804,-0.018687279,-0.067345621,0.001576915,0.000258319,-0.00156822,0.000419352,0.009176739,0.003433366,0.012035083,-0.001391254,0.00697533,0.006452667,0.011236689,0.007138303,-0.019858621,-0.000810189,-0.000440223,-0.000255054,-0.003802671,-0.000765183,0.001813219,-2.04E-05,0.014882447,0.020303445,0.007214648,0.010272067,-0.011288738,-0.000919648,0.005701053,0.007716738,-0.00150909,0.013117406,0.054373236,0.007674654,0.001825409,0.026614206,-0.001709352,0.037200196,4.00E-05,0.018498501,0.020850255,0.036199053,0.006057358,0.003143354,0.09509762,0.003668054,-0.005329014,0.040404424,0.008861137,-0.002268377,0.008391775,0.010779936,-0.001730118,0.034227662,0.010024353,0.005327562,0.060322494,0.022786684,0.010676024,0.003586057,-0.00068927,0.01513442,-0.000999702,0.005576919,0.006993329,-0.01353635,0.006459028,-0.000510114,0.025416869,0.003251605,-0.00044177,0.019566757,0.002868736,-0.000674824,0.020045889,-0.047766252,0.00696686
Flap mvmt late app,-0.007259575,-0.00517662,-7.24E-05,0.024461732,-0.000628042,-0.000760676,0.016096861,-0.000225581,0.00338968,0.013639756,-0.011480047,-0.015234596,-0.00580588,-0.008665796,-0.003332182,0.002441742,-0.000845752,0.010642474,0.007373522,0.021492999,0.013569749,0.008386594,0.011300362,-0.002256199,0.003998138,0.10993739,0.005324344,0.155744453,0.043304443,0.020301651,0.006496128,-0.000422872,0.006263626,0.015470649,0.004308618,0.007064596,-0.000422872,0.053037748,-0.001526896,-0.002487959,1,0.005029453,0.719654141,0.014934388,0.017515723,0.013946789,0.001120277,0.033503866,0.009149178,0.003856791,-0.001050475,-0.0042024,0.002448344,0.001955795,0.01343016,0.001481111,0.009393613,0.009387724,0.001514573,0.051656713,-0.000729876,-0.000422872,0.004360101,0.046413162,-0.000427235,-0.001135033,-0.003730501,0.015840125,-0.002779007,0.01217884,0.014395733,-0.001524747,0.002466026,0.000417521,0.00555836,-0.005501227,0.002624228,0.003109391,0.039903346,-0.007204446,0.007427594,-0.009836186,0.003719245,-0.008648507,-0.0101825,0.05451979,0.003598604,-0.014904399,-0.018770349,0.000699905,0.004593312,0.023625094,0.004730795,0.005671127,-0.002087768,-0.007146277,-0.00286848,0.025290494,0.054174924,0.028371946,0.014007103,-0.002085114,-0.000161512,0.00042957,0.007509835,0.059968565,0.000629178,0.006848881,-0.001026758,0.003143783,-0.002708057,-0.000845752,0.004518661,0.019061793,-0.000732441,0.006120655,-0.001278813,-0.001118836,-0.002576508,-0.152939704,4.07E-05
Flap retr early t/o,0.00060845,-0.001825211,0.0025636,-0.000230256,-0.000699989,-0.00182344,-0.000476951,-0.000321866,0.039095724,0.010333201,0.004651516,-0.002534333,0.000909249,-0.001891279,-0.000564402,0.003142095,-0.000100522,0.014346562,0.004903274,0.001044587,0.007243946,0.011053609,0.009242858,-0.000901433,0.0039447,0.000420892,-0.001065371,0.009830109,-0.000300275,-0.000937309,0.003934446,-5.03E-05,-0.000840279,-5.03E-05,-0.000332815,-0.000444,-5.03E-05,-0.000144573,-0.002305635,-0.001959482,0.005029453,1,0.005316328,0.00129124,0.003457972,-0.001791148,-0.000372576,0.026122805,0.014867704,0.001154506,-0.003617621,-0.002525027,0.003340794,-0.001580892,0.019897359,-0.002037544,0.013252857,-0.000723609,0.004717536,-0.000592829,-8.67E-05,-5.03E-05,-0.000749345,-0.000150785,-0.000559901,-0.000507599,-0.00087719,0.000420342,-0.002716151,0.003694218,0.012189409,-0.000181224,-0.000194667,-0.000284345,-0.000297378,0.00267399,-0.002540171,0.006015597,-0.000849177,-0.003091037,-0.003813374,-0.005125703,-0.000502767,0.002029123,-0.002489143,-0.000380844,-0.000684027,0.0172788,-0.000942027,0.035956747,0.100426586,-0.001282137,0.001966962,-0.001765473,0.004035432,0.014725303,0.057264776,0.002933044,0.000899388,0.011088188,-0.003063688,-0.001655818,-0.000317915,-0.001209577,0.008073181,0.005754337,0.004753837,-0.000603407,0.00718704,0.012604646,-0.000321866,-0.000100522,-0.002226753,0.002559169,-8.71E-05,-0.000474292,-0.000769364,-0.000132979,-0.001398191,-0.006961276,-0.000305758
Flap setting lo 1000ft,-0.003139606,-0.003258815,0.00048493,0.019219838,-0.000274388,0.001422419,0.001103325,-0.002117666,-0.00109678,0.002812041,-0.010020297,-0.012619238,-0.010886603,-0.00920676,-0.000128382,0.001155036,-0.000661368,0.010983942,0.004302536,0.012903003,0.008014754,0.006763134,0.005736133,0.000811685,0.003759607,0.109669765,0.003458429,0.158929206,0.053889304,0.001399606,0.004530216,-0.000330681,-0.003118069,0.019781953,-0.002189704,0.010746059,-0.000330681,0.046746133,-0.003501601,-0.005076934,0.719654141,0.005316328,1,0.01150256,0.012362136,0.003884923,0.008317752,0.019726512,0.011728182,0.000847367,-0.003086903,-0.008067904,0.000911823,0.003113604,0.000559719,0.002640757,-0.001017351,0.002233463,-0.001920276,0.004633081,-0.000570754,-0.000330681,0.003167338,-0.000992068,-0.001876892,0.008564713,-0.002307286,0.005098175,-0.004221431,0.009297294,0.010512538,-0.001192333,-0.001280779,-0.001870802,0.004843517,-0.002661175,-0.002700552,0.00562,0.013690241,0.000440567,0.01038062,-0.002128815,0.004739782,-0.009503966,-0.006473937,0.041082676,0.005856755,-0.011197187,-0.0041594,0.000961257,0.002928933,0.011358781,0.001639519,0.002814217,-2.89E-05,-0.005257206,-0.002243116,0.012608535,0.034069016,0.013154761,0.001883519,-0.006959557,0.001088817,0.000430589,0.002531542,0.016650339,-0.001912433,0.002737324,0.00203172,0.000663792,-0.002117666,-0.000661368,-0.000856827,0.007221914,-0.000572759,0.003277113,0.001511305,-0.000874916,-0.001932794,-0.119870397,0.011215856
Fuel qty low tdwn,0.004506325,0.002084088,0.004611294,-0.003064537,0.016493569,-0.003303335,-0.004840174,-0.001183271,0.006350734,-0.006080759,-0.011359069,-0.018996733,-0.014052592,-0.013469898,-0.005727646,-0.00426445,-0.001020111,-0.019822716,-0.004579934,-0.003933606,-0.005123463,-0.023770249,-0.002094206,-0.003186707,-0.005342255,-0.003930573,-0.002608417,-0.008104252,-0.009558308,-0.006644965,-0.006971828,-0.000510051,-0.006928965,-0.000510051,-0.003377457,0.004556827,-0.000510051,-0.00464282,0.002723313,-0.017466804,0.014934388,0.00129124,0.01150256,1,0.063230168,0.017039783,0.008715487,-0.00303152,0.000205511,0.000498116,-0.013357437,-0.009974965,-0.020294622,0.006574032,-0.005423597,-0.002056953,-0.004840174,-0.005488157,0.085002022,-0.002621046,0.007702963,-0.000510051,0.000449593,-0.001530192,-0.002087581,0.008004882,-0.008901863,-0.014023725,-0.014490949,-0.006140901,0.024849998,-0.001839086,-0.001975508,-0.002885574,0.001491204,0.001564405,-0.028643198,0.003973837,0.001006654,-0.005369147,0.00913549,-0.008300311,0.00156822,-0.028895713,-0.021156123,-0.005606209,-0.005960512,-0.02838778,-0.030121721,-0.002559122,0.010382777,-0.008811198,0.001190002,0.001602972,-0.006674179,-0.011166771,-0.001493201,-0.029761281,-0.025724917,-0.007702426,-0.041610079,-0.017014649,-0.00111731,0.002743822,0.001234829,-0.009199567,-0.005329227,-0.005011582,-0.008310201,0.048188205,-0.001183271,-0.001020111,-0.016499804,-0.009653386,-0.000883439,-0.004813193,0.002653056,-0.001349493,-0.003107084,-0.026014555,0.001282627
Gnd spd hi taxi straight,-0.001747148,-0.000177282,-0.010130457,-0.00554271,0.005538044,-0.008363701,-0.000369557,-0.004659327,-0.000661231,-0.000189988,-0.011830823,-0.011530079,-0.018216062,-0.013086374,-0.006098957,-0.002059216,-0.001842509,0.00864452,0.004841166,0.004500763,0.005002457,0.008300739,0.004375164,-0.009867689,-0.007077557,0.013064372,0.00127875,0.002244626,-0.030212106,-0.005150236,0.003895756,-0.000921246,-0.003030232,-0.000921246,-0.001364717,0.002653761,-0.000921246,-0.009842012,0.00733442,-0.018687279,0.017515723,0.003457972,0.012362136,0.063230168,1,0.1496807,0.002938454,-0.001211136,0.002194305,-0.006237268,-0.018957568,-0.015475958,-0.01340775,0.001183981,-0.004807833,0.003613338,-0.001885678,-0.000456179,0.008202986,-0.004674293,0.002707446,-0.000921246,0.03162795,-0.002763809,-0.002415454,-0.004604019,-0.00331367,-0.014590413,-0.018002803,-0.010871649,0.005523169,-0.003321728,-0.001517753,0.002073125,-0.004108393,0.001174278,-0.016788269,0.004017478,-0.001461274,-0.030209213,-0.008977421,-0.032448387,0.006027107,-0.007929115,-0.011726202,-0.011351922,-0.0060015,0.005386068,-0.076336776,0.004999977,0.004632712,-0.009881495,-0.005075151,0.002395248,0.001086825,-0.005254508,0.004289596,-0.01778775,-0.016705105,-0.00274933,-0.022546244,-0.016715501,-0.003315816,-0.003435633,-0.000793433,-0.001447539,0.011496155,-0.002328387,-0.005245433,0.040885227,0.001542144,-0.001842509,-0.016126869,-0.003092392,0.002988952,-0.004483731,-0.000508835,-0.002437434,-0.002281729,0.012049842,-0.001687578
