Var1,Var2,value
Flap setting lo 1000ft,Air spd hi flap 15,0.109669765
Air spd hi flap 15,Flap setting lo 1000ft,0.109669765
RoD hi 1000-500ft,Pitch lo 1000-500ft,0.109336224
Pitch lo 1000-500ft,RoD hi 1000-500ft,0.109336224
RoD hi 1000-500ft,Eng N1 lo 500-50ft (5 secs),0.106947653
Eng N1 lo 500-50ft (5 secs),RoD hi 1000-500ft,0.106947653
Pitch hi 35-400ft,Norm g hi t/o,0.104416723
Norm g hi t/o,Pitch hi 35-400ft,0.104416723
Roll hi 1000-300ft,Hgt lo 2 min tdwn,0.103743586
Hgt lo 2 min tdwn,Roll hi 1000-300ft,0.103743586
Air spd (rel) lo flap 15,Air spd (rel) lo flap 10,0.103642449
Air spd (rel) lo flap 10,Air spd (rel) lo flap 15,0.103642449
Pitch lo 500-20ft,Air spd (rel) hi tdwn,0.103389215
Air spd (rel) hi tdwn,Pitch lo 500-20ft,0.103389215
Roll hi 400-1000ft,Roll hi 20-400ft,0.102981799
Roll hi 20-400ft,Roll hi 400-1000ft,0.102981799
LOC dev 1500-1000ft,GS dev below GS 1000-500ft,0.102615295
GS dev below GS 1000-500ft,LOC dev 1500-1000ft,0.102615295
Pitch lo 35-400ft,Air spd (rel) hi 35-climb accel (3 secs),0.100979911
Air spd (rel) hi 35-climb accel (3 secs),Pitch lo 35-400ft,0.100979911
Pitch lo 35-400ft,Air spd (rel) hi 35-climb accel start,0.100734447
Air spd (rel) hi 35-climb accel start,Pitch lo 35-400ft,0.100734447
Norm g hi t/o,Air spd (rel) hi 35-climb accel start,0.100653083
Air spd (rel) hi 35-climb accel start,Norm g hi t/o,0.100653083
Air spd hi flap 2,Air spd hi flap 1,0.100614824
Air spd hi flap 1,Air spd hi flap 2,0.100614824
Pitch lo 400-1000ft,Flap retr early t/o,0.100426586
Flap retr early t/o,Pitch lo 400-1000ft,0.100426586
Pitch lo 20ft tdwn,Air spd (rel) hi 500-20ft (3 secs),0.099373556
Air spd (rel) hi 500-20ft (3 secs),Pitch lo 20ft tdwn,0.099373556
Air spd (rel) lo flap 5,Air spd (rel) lo flap 1,0.099017297
Air spd (rel) lo flap 1,Air spd (rel) lo flap 5,0.099017297
Air spd (rel) lo flap 5,Air spd (rel) lo flap 15,0.098121953
Air spd (rel) lo flap 15,Air spd (rel) lo flap 5,0.098121953
Pitch lo 35-climb accel start,Pitch hi 35-400ft,0.09793906
Pitch hi 35-400ft,Pitch lo 35-climb accel start,0.09793906
RoD hi 2000-1000ft,LOC dev 1000-500ft,0.097648973
LOC dev 1000-500ft,RoD hi 2000-1000ft,0.097648973
Norm g hi t/o,Air spd (rel) hi liftoff,0.097221945
Air spd (rel) hi liftoff,Norm g hi t/o,0.097221945
Air spd hi 8000-5000ft,Air spd hi 3000-1000ft,0.09542591
Air spd hi 3000-1000ft,Air spd hi 8000-5000ft,0.09542591
Turb flt,Turb crz,0.095107985
Turb crz,Turb flt,0.095107985
Pitch lo 35-climb accel start,Eng rev thrust hi at lo gnd spd,0.09509762
Eng rev thrust hi at lo gnd spd,Pitch lo 35-climb accel start,0.09509762
Pitch hi 35ft t/o,Pitch hi 35-400ft,0.094650718
Pitch hi 35-400ft,Pitch hi 35ft t/o,0.094650718
Pitch hi 35-400ft,Air spd (rel) hi 35ft t/o,0.094283264
Air spd (rel) hi 35ft t/o,Pitch hi 35-400ft,0.094283264
Pitch lo 35-climb accel start,Air spd hi flap 30,0.091955151
Air spd hi flap 30,Pitch lo 35-climb accel start,0.091955151
Air spd hi flap 30,Air spd hi flap 25,0.091881255
Air spd hi flap 25,Air spd hi flap 30,0.091881255
Pitch lo 1000-500ft,Hgt hi 2 min tdwn,0.090926532
Hgt hi 2 min tdwn,Pitch lo 1000-500ft,0.090926532
RoD hi 500-50ft,Pitch lo 500-20ft,0.08988703
Pitch lo 500-20ft,RoD hi 500-50ft,0.08988703
Air spd hi flap 30,Air spd hi flap 15,0.089756986
Air spd hi flap 15,Air spd hi flap 30,0.089756986
Roll hi 1000-300ft,Pitch hi 1000-500ft,0.08963779
Pitch hi 1000-500ft,Roll hi 1000-300ft,0.08963779
RoD hi 1000-500ft,GS dev above GS 1000-500ft,0.089062859
GS dev above GS 1000-500ft,RoD hi 1000-500ft,0.089062859
LOC dev 1000-500ft,GS dev below GS 1000-500ft,0.088111693
GS dev below GS 1000-500ft,LOC dev 1000-500ft,0.088111693
Pitch rate (rot) hi t/o,Pitch hi 35ft t/o,0.087090939
Pitch hi 35ft t/o,Pitch rate (rot) hi t/o,0.087090939
Pitch lo 20ft tdwn,Air spd (rel) hi tdwn,0.086758155
Air spd (rel) hi tdwn,Pitch lo 20ft tdwn,0.086758155
RoD hi 2000-1000ft,LOC dev 1500-1000ft,0.08669717
LOC dev 1500-1000ft,RoD hi 2000-1000ft,0.08669717
Turb flt,Air spd (rel) hi 500-20ft (3 secs),0.086679689
Air spd (rel) hi 500-20ft (3 secs),Turb flt,0.086679689
RoD hi 3000-2000ft,Air spd hi 3000-1000ft,0.086024096
Air spd hi 3000-1000ft,RoD hi 3000-2000ft,0.086024096
Pitch hi 400-1000ft,Air spd (rel) hi 35ft t/o,0.085986067
Air spd (rel) hi 35ft t/o,Pitch hi 400-1000ft,0.085986067
Hgt lo 1 min tdwn,Fuel qty low tdwn,0.085002022
Fuel qty low tdwn,Hgt lo 1 min tdwn,0.085002022
Short flare duration,RoD hi tdwn,0.084929102
RoD hi tdwn,Short flare duration,0.084929102
Pitch rate lo t/o,Air spd (rel) hi 35ft t/o,0.083670485
Air spd (rel) hi 35ft t/o,Pitch rate lo t/o,0.083670485
Air spd (rel) lo flap 10,Air spd (rel) lo flap 1,0.083608756
Air spd (rel) lo flap 1,Air spd (rel) lo flap 10,0.083608756
RoD hi 1000-500ft,Air spd hi flap 25,0.083344929
Air spd hi flap 25,RoD hi 1000-500ft,0.083344929
Air spd (rel) lo flap 5,Air spd (rel) lo flap 10,0.083300038
Air spd (rel) lo flap 10,Air spd (rel) lo flap 5,0.083300038
Pitch lo 500-20ft,Pitch cycle fin app,0.083120832
Pitch cycle fin app,Pitch lo 500-20ft,0.083120832
Pitch lo 500-20ft,Pitch lo 20ft tdwn,0.081715324
Pitch lo 20ft tdwn,Pitch lo 500-20ft,0.081715324
Pitch lo 35-climb accel start,Air spd (rel) hi 35ft t/o,0.081545846
Air spd (rel) hi 35ft t/o,Pitch lo 35-climb accel start,0.081545846
Pitch lo 1000-500ft,GS dev above GS 1000-500ft,0.080838076
GS dev above GS 1000-500ft,Pitch lo 1000-500ft,0.080838076
Pitch lo 1000-500ft,GS dev above GS 1500-1000ft,0.080070089
GS dev above GS 1500-1000ft,Pitch lo 1000-500ft,0.080070089
Pitch lo 1000-500ft,Air spd (rel) hi tdwn,0.079606708
Air spd (rel) hi tdwn,Pitch lo 1000-500ft,0.079606708
Pitch hi 400-1000ft,Norm g hi t/o,0.079201118
Norm g hi t/o,Pitch hi 400-1000ft,0.079201118
Turb app,Air spd (rel) hi 500-20ft (3 secs),0.079146147
Air spd (rel) hi 500-20ft (3 secs),Turb app,0.079146147
RoD hi 2000-1000ft,Air spd hi flap 15,0.078994852
Air spd hi flap 15,RoD hi 2000-1000ft,0.078994852
Pitch hi 1000-500ft,Ldg gear late extn,0.078609637
Ldg gear late extn,Pitch hi 1000-500ft,0.078609637
Pitch cycle fin app,Air spd (rel) hi 500-20ft (3 secs),0.078191561
Air spd (rel) hi 500-20ft (3 secs),Pitch cycle fin app,0.078191561
Pitch hi 400-1000ft,Air spd (rel) hi 35-climb accel (3 secs),0.0781396
Air spd (rel) hi 35-climb accel (3 secs),Pitch hi 400-1000ft,0.0781396
Pitch hi 35-400ft,Air spd (rel) hi 35-climb accel start,0.077828893
Air spd (rel) hi 35-climb accel start,Pitch hi 35-400ft,0.077828893
Norm g hi t/o,Air spd (rel) hi 35-climb accel (3 secs),0.076064513
Air spd (rel) hi 35-climb accel (3 secs),Norm g hi t/o,0.076064513
RoD hi 500-50ft,Norm g hi tdwn (hard ldg),0.076017301
Norm g hi tdwn (hard ldg),RoD hi 500-50ft,0.076017301
Pitch rate lo t/o,Air spd (rel) hi 35-climb accel start,0.075839337
Air spd (rel) hi 35-climb accel start,Pitch rate lo t/o,0.075839337
RoC lo 35-1000ft,Pitch lo 400-1000ft,0.075622074
Pitch lo 400-1000ft,RoC lo 35-1000ft,0.075622074
RoD hi 500-50ft,Hgt hi 2 min tdwn,0.075230911
Hgt hi 2 min tdwn,RoD hi 500-50ft,0.075230911
Unstable app,Gnd spd hi taxi turn,0.075077075
Gnd spd hi taxi turn,Unstable app,0.075077075
Hdg var tdwn 60kts air spd,Air spd (rel) hi 500-20ft (3 secs),0.074768628
Air spd (rel) hi 500-20ft (3 secs),Hdg var tdwn 60kts air spd,0.074768628
Pitch cycle fin app,Air spd (rel) hi tdwn,0.074285071
Air spd (rel) hi tdwn,Pitch cycle fin app,0.074285071
Pitch lo 1000-500ft,Eng N1 lo 500-50ft (5 secs),0.07370379
Eng N1 lo 500-50ft (5 secs),Pitch lo 1000-500ft,0.07370379
RoD hi 3000-2000ft,Hgt hi 2 min tdwn,0.073149241
Hgt hi 2 min tdwn,RoD hi 3000-2000ft,0.073149241
Pitch lo 1000-500ft,Air spd hi flap 25,0.072391792
Air spd hi flap 25,Pitch lo 1000-500ft,0.072391792
Roll cycle fin app,Air spd (rel) hi tdwn,0.07197789
Air spd (rel) hi tdwn,Roll cycle fin app,0.07197789
Pitch rate lo t/o,Air spd (rel) hi 35-climb accel (3 secs),0.071852467
Air spd (rel) hi 35-climb accel (3 secs),Pitch rate lo t/o,0.071852467
Pitch lo 1000-500ft,LOC dev 1000-500ft,0.071103683
LOC dev 1000-500ft,Pitch lo 1000-500ft,0.071103683
Pitch rate lo t/o,Pitch lo 35ft t/o,0.071008569
Pitch lo 35ft t/o,Pitch rate lo t/o,0.071008569
Pitch lo 35-climb accel start,Air spd (rel) hi 35-climb accel start,0.070468854
Air spd (rel) hi 35-climb accel start,Pitch lo 35-climb accel start,0.070468854
Air spd hi 3000-1000ft,Air spd hi 10000-8000ft,0.069879332
Air spd hi 10000-8000ft,Air spd hi 3000-1000ft,0.069879332
Pitch rate hi 35-1000ft,Norm g hi t/o,0.068845527
Norm g hi t/o,Pitch rate hi 35-1000ft,0.068845527
Short flare duration,RoD hi 500-50ft,0.068762144
RoD hi 500-50ft,Short flare duration,0.068762144
Pitch lo 1000-500ft,Air spd hi flap 40,0.068714942
Air spd hi flap 40,Pitch lo 1000-500ft,0.068714942
Pitch lo 1000-500ft,Hgt hi 1 min tdwn,0.068465628
Hgt hi 1 min tdwn,Pitch lo 1000-500ft,0.068465628
RoD hi 2000-1000ft,Eng N1 lo 500-50ft (5 secs),0.068400922
Eng N1 lo 500-50ft (5 secs),RoD hi 2000-1000ft,0.068400922
Ldg gear late retr g/a,Go-around,0.06803373
Go-around,Ldg gear late retr g/a,0.06803373
Turb flt,Short flare duration,0.067096807
Short flare duration,Turb flt,0.067096807
Throttle cycle fin app,Air spd (rel) hi 500-20ft (3 secs),0.066846125
Air spd (rel) hi 500-20ft (3 secs),Throttle cycle fin app,0.066846125
Turb flt,Norm g hi tdwn (hard ldg),0.066648182
Norm g hi tdwn (hard ldg),Turb flt,0.066648182
RoD hi 3000-2000ft,Air spd hi ldg gear extn,0.066560519
Air spd hi ldg gear extn,RoD hi 3000-2000ft,0.066560519
Pitch lo 500-20ft,Air spd hi flap 30,0.066066187
Air spd hi flap 30,Pitch lo 500-20ft,0.066066187
Pitch lo 35-climb accel start,Air spd (rel) lo flap 15,0.066002029
Air spd (rel) lo flap 15,Pitch lo 35-climb accel start,0.066002029
RoD hi 50ft tdwn,RoD hi 500-50ft,0.066000584
RoD hi 500-50ft,RoD hi 50ft tdwn,0.066000584
RoD hi 1000-500ft,LOC dev 1000-500ft,0.065497792
LOC dev 1000-500ft,RoD hi 1000-500ft,0.065497792
Pitch hi 35-400ft,Air spd hi flap 30,0.064784095
Air spd hi flap 30,Pitch hi 35-400ft,0.064784095
Pitch lo 35-climb accel start,Air spd (rel) lo flap 1,0.064227568
Air spd (rel) lo flap 1,Pitch lo 35-climb accel start,0.064227568
Pitch hi 500-50ft,Pitch hi 1000-500ft,0.064040238
Pitch hi 1000-500ft,Pitch hi 500-50ft,0.064040238
RoD hi 2000-1000ft,Hgt hi 1 min tdwn,0.063738507
Hgt hi 1 min tdwn,RoD hi 2000-1000ft,0.063738507
Gnd spd hi taxi straight,Fuel qty low tdwn,0.063230168
Fuel qty low tdwn,Gnd spd hi taxi straight,0.063230168
Pitch lo 35ft t/o,Pitch lo 35-400ft,0.063026052
Pitch lo 35-400ft,Pitch lo 35ft t/o,0.063026052
Pitch lo 35-climb accel start,Air spd (rel) hi 35-climb accel (3 secs),0.062622967
Air spd (rel) hi 35-climb accel (3 secs),Pitch lo 35-climb accel start,0.062622967
Pitch hi 400-1000ft,Pitch hi 35ft t/o,0.061981305
Pitch hi 35ft t/o,Pitch hi 400-1000ft,0.061981305
RoD hi 3000-2000ft,Air spd hi 5000-3000ft,0.061840802
Air spd hi 5000-3000ft,RoD hi 3000-2000ft,0.061840802
Hgt hi 2 min tdwn,Air spd hi flap 40,0.061789272
Air spd hi flap 40,Hgt hi 2 min tdwn,0.061789272
Roll cycle fin app,Pitch lo 500-20ft,0.061662899
Pitch lo 500-20ft,Roll cycle fin app,0.061662899
RoD hi 2000-1000ft,GS dev below GS 1000-500ft,0.061516604
GS dev below GS 1000-500ft,RoD hi 2000-1000ft,0.061516604
Pitch lo 1000-500ft,Pitch cycle fin app,0.061351893
Pitch cycle fin app,Pitch lo 1000-500ft,0.061351893
Pitch hi liftoff,Pitch hi 50ft tdwn,0.061192736
Pitch hi 50ft tdwn,Pitch hi liftoff,0.061192736
Hgt hi 1 min tdwn,Air spd hi flap 40,0.061176675
Air spd hi flap 40,Hgt hi 1 min tdwn,0.061176675
Turb flt,Pitch lo 1000-500ft,0.06117662
Pitch lo 1000-500ft,Turb flt,0.06117662
Turb flt,Air spd (rel) hi tdwn,0.060692242
Air spd (rel) hi tdwn,Turb flt,0.060692242
Spdbrk dep flaps extd,RoD hi 3000-2000ft,0.060557892
RoD hi 3000-2000ft,Spdbrk dep flaps extd,0.060557892
RoD hi 500-50ft,Eng rev thrust hi at lo gnd spd,0.060322494
Eng rev thrust hi at lo gnd spd,RoD hi 500-50ft,0.060322494
Roll hi 1000-300ft,Flap mvmt late app,0.059968565
Flap mvmt late app,Roll hi 1000-300ft,0.059968565
Air spd (rel) lo tdwn,Air spd (rel) lo 500-20ft (3 secs),0.059769925
Air spd (rel) lo 500-20ft (3 secs),Air spd (rel) lo tdwn,0.059769925
RoD hi 500-50ft,Pitch hi 50ft tdwn,0.059738676
Pitch hi 50ft tdwn,RoD hi 500-50ft,0.059738676
RoD hi 50ft tdwn,Air spd (rel) lo flap 15,0.059556851
Air spd (rel) lo flap 15,RoD hi 50ft tdwn,0.059556851
Pitch hi 1000-500ft,Eng N1 hi app,0.05909385
Eng N1 hi app,Pitch hi 1000-500ft,0.05909385
Ldg gear late retr g/a,AP disengaged crz,0.058393223
AP disengaged crz,Ldg gear late retr g/a,0.058393223
RoD hi 3000-2000ft,Air spd hi flap 25,0.057605343
Air spd hi flap 25,RoD hi 3000-2000ft,0.057605343
Air spd hi flap 30,Air spd (rel) hi 500-20ft (3 secs),0.057472349
Air spd (rel) hi 500-20ft (3 secs),Air spd hi flap 30,0.057472349
Pitch lo 35-climb accel start,Pitch hi liftoff,0.057316512
Pitch hi liftoff,Pitch lo 35-climb accel start,0.057316512
RoC lo 35-1000ft,Flap retr early t/o,0.057264776
Flap retr early t/o,RoC lo 35-1000ft,0.057264776
Turb flt,Pitch lo 500-20ft,0.056515544
Pitch lo 500-20ft,Turb flt,0.056515544
Pitch hi 35-400ft,Air spd (rel) hi 35-climb accel (3 secs),0.056379297
Air spd (rel) hi 35-climb accel (3 secs),Pitch hi 35-400ft,0.056379297
Gnd spd hi taxi turn,Air spd hi 8000-10000ft,0.056367626
Air spd hi 8000-10000ft,Gnd spd hi taxi turn,0.056367626
Hdg dev rwy >80kts air spd t/o,Air spd (rel) hi 35-climb accel start,0.056262664
Air spd (rel) hi 35-climb accel start,Hdg dev rwy >80kts air spd t/o,0.056262664
Air spd hi flap 30,Air spd hi flap 10,0.056164302
Air spd hi flap 10,Air spd hi flap 30,0.056164302
Air spd hi flap 40,Air spd hi flap 30,0.055721006
Air spd hi flap 30,Air spd hi flap 40,0.055721006
Pitch hi 400-1000ft,Air spd hi flap 30,0.055592187
Air spd hi flap 30,Pitch hi 400-1000ft,0.055592187
Pitch lo 35ft t/o,Pitch lo 35-climb accel start,0.055263586
Pitch lo 35-climb accel start,Pitch lo 35ft t/o,0.055263586
Turb app,Pitch lo 1000-500ft,0.055148195
Pitch lo 1000-500ft,Turb app,0.055148195
Pitch hi 1000-500ft,Air spd (rel) lo 1000-500ft (3 secs),0.055133659
Air spd (rel) lo 1000-500ft (3 secs),Pitch hi 1000-500ft,0.055133659
RoD hi 2000-1000ft,Air spd hi flap 30,0.054996119
Air spd hi flap 30,RoD hi 2000-1000ft,0.054996119
Pitch lo 1000-500ft,LOC dev 500-200ft,0.054727141
LOC dev 500-200ft,Pitch lo 1000-500ft,0.054727141
Pitch lo 1000-500ft,Flap mvmt late app,0.05451979
Flap mvmt late app,Pitch lo 1000-500ft,0.05451979
Pitch lo 500-20ft,Pitch lo 35-climb accel start,0.054513112
Pitch lo 35-climb accel start,Pitch lo 500-20ft,0.054513112
Norm g hi tdwn (hard ldg),Eng rev thrust hi at lo gnd spd,0.054373236
Eng rev thrust hi at lo gnd spd,Norm g hi tdwn (hard ldg),0.054373236
Air spd hi ldg gear extn,Air spd hi 5000-3000ft,0.054260683
Air spd hi 5000-3000ft,Air spd hi ldg gear extn,0.054260683
RoD hi 2000-1000ft,Flap mvmt late app,0.054174924
Flap mvmt late app,RoD hi 2000-1000ft,0.054174924
Norm g hi t/o,Hdg dev rwy >80kts air spd t/o,0.053931431
Hdg dev rwy >80kts air spd t/o,Norm g hi t/o,0.053931431
Flap setting lo 1000ft,Air spd hi flap 30,0.053889304
Air spd hi flap 30,Flap setting lo 1000ft,0.053889304
Roll hi liftoff 20ft,Hdg dev rwy >80kts air spd t/o,0.053659495
Hdg dev rwy >80kts air spd t/o,Roll hi liftoff 20ft,0.053659495
Air spd (rel) lo liftoff,Air spd (rel) lo 35ft t/o,0.053501956
Air spd (rel) lo 35ft t/o,Air spd (rel) lo liftoff,0.053501956
RoD hi 500-50ft,Air spd hi flap 40,0.053463978
Air spd hi flap 40,RoD hi 500-50ft,0.053463978
Unstable app,Pitch lo 35-400ft,0.05341762
Pitch lo 35-400ft,Unstable app,0.05341762
GS dev below GS 500-200ft,GS dev below GS 1500-1000ft,0.05337811
GS dev below GS 1500-1000ft,GS dev below GS 500-200ft,0.05337811
Flap mvmt late app,Eng N1 lo 500-50ft (5 secs),0.053037748
Eng N1 lo 500-50ft (5 secs),Flap mvmt late app,0.053037748
Hdg var tdwn 60kts air spd,Air spd (rel) hi tdwn,0.052760278
Air spd (rel) hi tdwn,Hdg var tdwn 60kts air spd,0.052760278
